1CH 1:1	Adam, Seth, Enosh,
1CH 1:37	The sons of Reuel: Nahath, Zerah, Shammah, and Mizzah.
1CH 1:38	The sons of Seir: Lotan, Shobal, Zibeon, Anah, Dishon, Ezer, and Dishan.
1CH 1:39	The sons of Lotan: Hori and Homam; and Timna was Lotan’s sister.
1CH 1:40	The sons of Shobal: Alian, Manahath, Ebal, Shephi, and Onam. The sons of Zibeon: Aiah and Anah.
1CH 1:41	The son of Anah: Dishon. The sons of Dishon: Hamran, Eshban, Ithran, and Cheran.
1CH 1:42	The sons of Ezer: Bilhan, Zaavan, and Jaakan. The sons of Dishan: Uz and Aran.
1CH 1:43	Now these are the kings who reigned in the land of Edom, before any king reigned over the children of Israel: Bela the son of Beor; and the name of his city was Dinhabah.
1CH 1:44	Bela died, and Jobab the son of Zerah of Bozrah reigned in his place.
1CH 1:45	Jobab died, and Husham of the land of the Temanites reigned in his place.
1CH 1:46	Husham died, and Hadad the son of Bedad, who struck Midian in the field of Moab, reigned in his place; and the name of his city was Avith.
1CH 1:47	Hadad died, and Samlah of Masrekah reigned in his place.
1CH 1:48	Samlah died, and Shaul of Rehoboth by the River reigned in his place.
1CH 1:49	Shaul died, and Baal Hanan the son of Achbor reigned in his place.
1CH 1:50	Baal Hanan died, and Hadad reigned in his place; and the name of his city was Pai: and his wife’s name was Mehetabel, the daughter of Matred, the daughter of Mezahab.
1CH 1:51	Then Hadad died. The chiefs of Edom were: chief Timna, chief Aliah, chief Jetheth,
1CH 1:52	chief Oholibamah, chief Elah, chief Pinon,
1CH 1:53	chief Kenaz, chief Teman, chief Mibzar,
1CH 1:54	chief Magdiel, and chief Iram. These are the chiefs of Edom.
1CH 2:1	These are the sons of Israel: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,
1CH 2:2	Dan, Joseph, Benjamin, Naphtali, Gad, and Asher.
1CH 2:3	The sons of Judah: Er, Onan, and Shelah; which three were born to him of Shua’s daughter the Canaanitess. Er, Judah’s firstborn, was wicked in Yahweh’s sight; and he killed him.
1CH 2:4	Tamar his daughter-in-law bore him Perez and Zerah. All the sons of Judah were five.
1CH 2:5	The sons of Perez: Hezron and Hamul.
1CH 2:6	The sons of Zerah: Zimri, Ethan, Heman, Calcol, and Dara; five of them in all.
1CH 2:7	The son of Carmi: Achar, the troubler of Israel, who committed a trespass in the devoted thing.
1CH 2:8	The son of Ethan: Azariah.
1CH 2:9	The sons also of Hezron, who were born to him: Jerahmeel, Ram, and Chelubai.
1CH 2:10	Ram became the father of Amminadab, and Amminadab became the father of Nahshon, prince of the children of Judah;
1CH 2:11	and Nahshon became the father of Salma, and Salma became the father of Boaz,
1CH 2:12	and Boaz became the father of Obed, and Obed became the father of Jesse;
1CH 2:13	and Jesse became the father of his firstborn Eliab, and Abinadab the second, and Shimea the third,
1CH 2:14	Nethanel the fourth, Raddai the fifth,
1CH 2:15	Ozem the sixth, David the seventh;
1CH 2:16	and their sisters were Zeruiah and Abigail. The sons of Zeruiah: Abishai, Joab, and Asahel, three.
1CH 2:17	Abigail bore Amasa; and the father of Amasa was Jether the Ishmaelite.
1CH 2:18	Caleb the son of Hezron became the father of children of Azubah his wife, and of Jerioth; and these were her sons: Jesher, Shobab, and Ardon.
1CH 2:19	Azubah died, and Caleb married Ephrath, who bore him Hur.
1CH 2:20	Hur became the father of Uri, and Uri became the father of Bezalel.
1CH 2:21	Afterward Hezron went in to the daughter of Machir the father of Gilead, whom he took as wife when he was sixty years old; and she bore him Segub.
1CH 2:22	Segub became the father of Jair, who had twenty-three cities in the land of Gilead.
1CH 2:23	Geshur and Aram took the towns of Jair from them, with Kenath, and its villages, even sixty cities. All these were the sons of Machir the father of Gilead.
1CH 2:24	After Hezron died in Caleb Ephrathah, Abijah Hezron’s wife bore him Ashhur the father of Tekoa.
1CH 2:25	The sons of Jerahmeel the firstborn of Hezron were Ram the firstborn, Bunah, Oren, Ozem, and Ahijah.
1CH 2:26	Jerahmeel had another wife, whose name was Atarah. She was the mother of Onam.
1CH 2:27	The sons of Ram the firstborn of Jerahmeel were Maaz, Jamin, and Eker.
1CH 2:28	The sons of Onam were Shammai and Jada. The sons of Shammai: Nadab and Abishur.
1CH 2:29	The name of the wife of Abishur was Abihail; and she bore him Ahban and Molid.
1CH 2:30	The sons of Nadab: Seled and Appaim; but Seled died without children.
1CH 2:31	The son of Appaim: Ishi. The son of Ishi: Sheshan. The son of Sheshan: Ahlai.
1CH 2:32	The sons of Jada the brother of Shammai: Jether and Jonathan; and Jether died without children.
1CH 2:33	The sons of Jonathan: Peleth and Zaza. These were the sons of Jerahmeel.
1CH 2:34	Now Sheshan had no sons, but daughters. Sheshan had a servant, an Egyptian, whose name was Jarha.
1CH 2:35	Sheshan gave his daughter to Jarha his servant as wife; and she bore him Attai.
1CH 2:36	Attai became the father of Nathan, and Nathan became the father of Zabad,
1CH 2:37	and Zabad became the father of Ephlal, and Ephlal became the father of Obed,
1CH 2:38	and Obed became the father of Jehu, and Jehu became the father of Azariah,
1CH 2:39	and Azariah became the father of Helez, and Helez became the father of Eleasah,
1CH 2:40	and Eleasah became the father of Sismai, and Sismai became the father of Shallum,
1CH 2:41	and Shallum became the father of Jekamiah, and Jekamiah became the father of Elishama.
1CH 2:42	The sons of Caleb the brother of Jerahmeel were Mesha his firstborn, who was the father of Ziph; and the sons of Mareshah the father of Hebron.
1CH 2:43	The sons of Hebron: Korah, Tappuah, Rekem, and Shema.
1CH 2:44	Shema became the father of Raham, the father of Jorkeam; and Rekem became the father of Shammai.
1CH 2:45	The son of Shammai was Maon; and Maon was the father of Beth Zur.
1CH 2:46	Ephah, Caleb’s concubine, bore Haran, Moza, and Gazez; and Haran became the father of Gazez.
1CH 2:47	The sons of Jahdai: Regem, Jothan, Geshan, Pelet, Ephah, and Shaaph.
1CH 2:48	Maacah, Caleb’s concubine, bore Sheber and Tirhanah.
1CH 2:49	She bore also Shaaph the father of Madmannah, Sheva the father of Machbena, and the father of Gibea; and the daughter of Caleb was Achsah.
1CH 2:50	These were the sons of Caleb, the son of Hur, the firstborn of Ephrathah: Shobal the father of Kiriath Jearim,
1CH 2:51	Salma the father of Bethlehem, and Hareph the father of Beth Gader.
1CH 2:52	Shobal the father of Kiriath Jearim had sons: Haroeh, half of the Menuhoth.
1CH 2:53	The families of Kiriath Jearim: the Ithrites, the Puthites, the Shumathites, and the Mishraites; from them came the Zorathites and the Eshtaolites.
1CH 2:54	The sons of Salma: Bethlehem, the Netophathites, Atroth Beth Joab, and half of the Manahathites, the Zorites.
1CH 2:55	The families of scribes who lived at Jabez: the Tirathites, the Shimeathites, and the Sucathites. These are the Kenites who came from Hammath, the father of the house of Rechab.
1CH 3:1	Now these were the sons of David, who were born to him in Hebron: the firstborn, Amnon, of Ahinoam the Jezreelitess; the second, Daniel, of Abigail the Carmelitess;
1CH 3:2	the third, Absalom the son of Maacah the daughter of Talmai king of Geshur; the fourth, Adonijah the son of Haggith;
1CH 3:3	the fifth, Shephatiah of Abital; the sixth, Ithream by Eglah his wife:
1CH 3:4	six were born to him in Hebron; and he reigned there seven years and six months. He reigned thirty-three years in Jerusalem;
1CH 3:5	and these were born to him in Jerusalem: Shimea, Shobab, Nathan, and Solomon, four, of Bathshua the daughter of Ammiel;
1CH 3:6	and Ibhar, Elishama, Eliphelet,
1CH 3:7	Nogah, Nepheg, Japhia,
1CH 3:8	Elishama, Eliada, and Eliphelet, nine.
1CH 3:9	All these were the sons of David, besides the sons of the concubines; and Tamar was their sister.
1CH 3:10	Solomon’s son was Rehoboam, Abijah his son, Asa his son, Jehoshaphat his son,
1CH 3:11	Joram his son, Ahaziah his son, Joash his son,
1CH 3:12	Amaziah his son, Azariah his son, Jotham his son,
1CH 3:13	Ahaz his son, Hezekiah his son, Manasseh his son,
1CH 3:14	Amon his son, and Josiah his son.
1CH 3:15	The sons of Josiah: the firstborn Johanan, the second Jehoiakim, the third Zedekiah, and the fourth Shallum.
1CH 3:16	The sons of Jehoiakim: Jeconiah his son, and Zedekiah his son.
1CH 3:17	The sons of Jeconiah, the captive: Shealtiel his son,
1CH 3:18	Malchiram, Pedaiah, Shenazzar, Jekamiah, Hoshama, and Nedabiah.
1CH 3:19	The sons of Pedaiah: Zerubbabel and Shimei. The sons of Zerubbabel: Meshullam and Hananiah; and Shelomith was their sister;
1CH 3:20	and Hashubah, Ohel, Berechiah, Hasadiah, and Jushab Hesed, five.
1CH 3:21	The sons of Hananiah: Pelatiah and Jeshaiah; the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shecaniah.
1CH 3:22	The son of Shecaniah: Shemaiah. The sons of Shemaiah: Hattush, Igal, Bariah, Neariah, and Shaphat, six.
1CH 3:23	The sons of Neariah: Elioenai, Hizkiah, and Azrikam, three.
1CH 3:24	The sons of Elioenai: Hodaviah, Eliashib, Pelaiah, Akkub, Johanan, Delaiah, and Anani, seven.
1CH 4:1	The sons of Judah: Perez, Hezron, Carmi, Hur, and Shobal.
1CH 4:2	Reaiah the son of Shobal became the father of Jahath; and Jahath became the father of Ahumai and Lahad. These are the families of the Zorathites.
1CH 4:3	These were the sons of the father of Etam: Jezreel, Ishma, and Idbash. The name of their sister was Hazzelelponi.
1CH 4:4	Penuel was the father of Gedor and Ezer the father of Hushah. These are the sons of Hur, the firstborn of Ephrathah, the father of Bethlehem.
1CH 4:5	Ashhur the father of Tekoa had two wives, Helah and Naarah.
1CH 4:6	Naarah bore him Ahuzzam, Hepher, Temeni, and Haahashtari. These were the sons of Naarah.
1CH 4:7	The sons of Helah were Zereth, Izhar, and Ethnan.
1CH 4:8	Hakkoz became the father of Anub, Zobebah, and the families of Aharhel the son of Harum.
1CH 4:9	Jabez was more honorable than his brothers. His mother named him Jabez, saying, “Because I bore him with sorrow.”
1CH 4:10	Jabez called on the God of Israel, saying, “Oh that you would bless me indeed, and enlarge my border! May your hand be with me, and may you keep me from evil, that I may not cause pain!”
God granted him that which he requested.
1CH 4:11	Chelub the brother of Shuhah became the father of Mehir, who was the father of Eshton.
1CH 4:12	Eshton became the father of Beth Rapha, Paseah, and Tehinnah the father of Ir Nahash. These are the men of Recah.
1CH 4:13	The sons of Kenaz: Othniel and Seraiah. The sons of Othniel: Hathath.
1CH 4:14	Meonothai became the father of Ophrah: and Seraiah became the father of Joab the father of Ge Harashim; for they were craftsmen.
1CH 4:15	The sons of Caleb the son of Jephunneh: Iru, Elah, and Naam. The son of Elah: Kenaz.
1CH 4:16	The sons of Jehallelel: Ziph, Ziphah, Tiria, and Asarel.
1CH 4:17	The sons of Ezrah: Jether, Mered, Epher, and Jalon; and she bore Miriam, Shammai, and Ishbah the father of Eshtemoa.
1CH 4:18	His wife the Jewess bore Jered the father of Gedor, Heber the father of Soco, and Jekuthiel the father of Zanoah. These are the sons of Bithiah the daughter of Pharaoh, whom Mered took.
1CH 4:19	The sons of the wife of Hodiah, the sister of Naham, were the father of Keilah the Garmite, and Eshtemoa the Maacathite.
1CH 4:20	The sons of Shimon: Amnon, Rinnah, Ben Hanan, and Tilon. The sons of Ishi: Zoheth, and Ben Zoheth.
1CH 4:21	The sons of Shelah the son of Judah: Er the father of Lecah, Laadah the father of Mareshah, and the families of the house of those who worked fine linen, of the house of Ashbea;
1CH 4:22	and Jokim, and the men of Cozeba, and Joash, and Saraph, who had dominion in Moab, and Jashubilehem. These records are ancient.
1CH 4:23	These were the potters, and the inhabitants of Netaim and Gederah: they lived there with the king for his work.
1CH 4:24	The sons of Simeon: Nemuel, Jamin, Jarib, Zerah, Shaul;
1CH 4:25	Shallum his son, Mibsam his son, and Mishma his son.
1CH 4:26	The sons of Mishma: Hammuel his son, Zaccur his son, Shimei his son.
1CH 4:27	Shimei had sixteen sons and six daughters; but his brothers didn’t have many children, and all their family did not multiply like the children of Judah.
1CH 4:28	They lived at Beersheba, Moladah, Hazarshual,
1CH 4:29	at Bilhah, at Ezem, at Tolad,
1CH 4:30	at Bethuel, at Hormah, at Ziklag,
1CH 4:31	at Beth Marcaboth, Hazar Susim, at Beth Biri, and at Shaaraim. These were their cities until David’s reign.
1CH 4:32	Their villages were Etam, Ain, Rimmon, Tochen, and Ashan, five cities;
1CH 4:33	and all their villages that were around the same cities, to Baal. These were their settlements, and they have their genealogy.
1CH 4:34	Meshobab, Jamlech, Joshah the son of Amaziah,
1CH 4:35	Joel, Jehu the son of Joshibiah, the son of Seraiah, the son of Asiel,
1CH 4:36	Elioenai, Jaakobah, Jeshohaiah, Asaiah, Adiel, Jesimiel, Benaiah,
1CH 4:37	and Ziza the son of Shiphi, the son of Allon, the son of Jedaiah, the son of Shimri, the son of Shemaiah—
1CH 4:38	these mentioned by name were princes in their families. Their fathers’ houses increased greatly.
1CH 4:39	They went to the entrance of Gedor, even to the east side of the valley, to seek pasture for their flocks.
1CH 4:40	They found fat pasture and good, and the land was wide, and quiet, and peaceful; for those who lived there before were descended from Ham.
1CH 4:41	These written by name came in the days of Hezekiah king of Judah, and struck their tents. The Meunim who were found there, and they destroyed them utterly to this day, and lived in their place; because there was pasture there for their flocks.
1CH 4:42	Some of them, even of the sons of Simeon, five hundred men, went to Mount Seir, having for their captains Pelatiah, Neariah, Rephaiah, and Uzziel, the sons of Ishi.
1CH 4:43	They struck the remnant of the Amalekites who escaped, and have lived there to this day.
1CH 5:1	The sons of Reuben the firstborn of Israel (for he was the firstborn; but, because he defiled his father’s couch, his birthright was given to the sons of Joseph the son of Israel; and the genealogy is not to be listed according to the birthright.
1CH 5:2	For Judah prevailed above his brothers, and from him came the prince; but the birthright was Joseph’s)—
1CH 5:3	the sons of Reuben the firstborn of Israel: Hanoch, Pallu, Hezron, and Carmi.
1CH 5:4	The sons of Joel: Shemaiah his son, Gog his son, Shimei his son,
1CH 5:5	Micah his son, Reaiah his son, Baal his son,
1CH 5:6	and Beerah his son, whom Tilgath Pilneser king of Assyria carried away captive. He was prince of the Reubenites.
1CH 5:7	His brothers by their families, when the genealogy of their generations was listed: the chief, Jeiel, and Zechariah,
1CH 5:8	and Bela the son of Azaz, the son of Shema, the son of Joel, who lived in Aroer, even to Nebo and Baal Meon;
1CH 5:9	and he lived eastward even to the entrance of the wilderness from the river Euphrates, because their livestock were multiplied in the land of Gilead.
1CH 5:10	In the days of Saul, they made war with the Hagrites, who fell by their hand; and they lived in their tents throughout all the land east of Gilead.
1CH 5:11	The sons of Gad lived over against them, in the land of Bashan to Salecah:
1CH 5:12	Joel the chief, Shapham the second, Janai, and Shaphat in Bashan.
1CH 5:13	Their brothers of their fathers’ houses: Michael, Meshullam, Sheba, Jorai, Jacan, Zia, and Eber, seven.
1CH 5:14	These were the sons of Abihail, the son of Huri, the son of Jaroah, the son of Gilead, the son of Michael, the son of Jeshishai, the son of Jahdo, the son of Buz;
1CH 5:15	Ahi the son of Abdiel, the son of Guni, chief of their fathers’ houses.
1CH 5:16	They lived in Gilead in Bashan, and in its towns, and in all the suburbs of Sharon, as far as their borders.
1CH 5:17	All these were listed by genealogies in the days of Jotham king of Judah, and in the days of Jeroboam king of Israel.
1CH 5:18	The sons of Reuben, the Gadites, and the half-tribe of Manasseh, of valiant men, men able to bear buckler and sword, and to shoot with bow, and skillful in war, were forty-four thousand seven hundred sixty, that were able to go out to war.
1CH 5:19	They made war with the Hagrites, with Jetur, and Naphish, and Nodab.
1CH 5:20	They were helped against them, and the Hagrites were delivered into their hand, and all who were with them; for they cried to God in the battle, and he answered them, because they put their trust in him.
1CH 5:21	They took away their livestock; of their camels fifty thousand, and of sheep two hundred fifty thousand, and of donkeys two thousand, and of men one hundred thousand.
1CH 5:22	For many fell slain, because the war was of God. They lived in their place until the captivity.
1CH 5:23	The children of the half-tribe of Manasseh lived in the land: they increased from Bashan to Baal Hermon, Senir, and Mount Hermon.
1CH 5:24	These were the heads of their fathers’ houses: even Epher, Ishi, Eliel, Azriel, Jeremiah, Hodaviah, and Jahdiel, mighty men of valor, famous men, heads of their fathers’ houses.
1CH 5:25	They trespassed against the God of their fathers, and played the prostitute after the gods of the peoples of the land, whom God destroyed before them.
1CH 5:26	So the God of Israel stirred up the spirit of Pul king of Assyria, and the spirit of Tilgath Pilneser king of Assyria, and he carried them away, even the Reubenites, and the Gadites, and the half-tribe of Manasseh, and brought them to Halah, Habor, Hara, and to the river of Gozan, to this day.
1CH 6:1	The sons of Levi: Gershon, Kohath, and Merari.
1CH 6:2	The sons of Kohath: Amram, Izhar, and Hebron, and Uzziel.
1CH 6:3	The children of Amram: Aaron, Moses, and Miriam. The sons of Aaron: Nadab, Abihu, Eleazar, and Ithamar.
1CH 6:4	Eleazar became the father of Phinehas, Phinehas became the father of Abishua,
1CH 6:5	Abishua became the father of Bukki. Bukki became the father of Uzzi.
1CH 6:6	Uzzi became the father of Zerahiah. Zerahiah became the father of Meraioth.
1CH 6:7	Meraioth became the father of Amariah. Amariah became the father of Ahitub.
1CH 6:8	Ahitub became the father of Zadok. Zadok became the father of Ahimaaz.
1CH 6:9	Ahimaaz became the father of Azariah. Azariah became the father of Johanan.
1CH 6:10	Johanan became the father of Azariah, who executed the priest’s office in the house that Solomon built in Jerusalem.
1CH 6:11	Azariah became the father of Amariah. Amariah became the father of Ahitub.
1CH 6:12	Ahitub became the father of Zadok. Zadok became the father of Shallum.
1CH 6:13	Shallum became the father of Hilkiah. Hilkiah became the father of Azariah.
1CH 6:14	Azariah became the father of Seraiah. Seraiah became the father of Jehozadak.
1CH 6:15	Jehozadak went into captivity, when Yahweh carried Judah and Jerusalem away by the hand of Nebuchadnezzar.
1CH 6:16	The sons of Levi: Gershom, Kohath, and Merari.
1CH 6:17	These are the names of the sons of Gershom: Libni and Shimei.
1CH 6:18	The sons of Kohath were Amram, Izhar, Hebron, and Uzziel.
1CH 6:19	The sons of Merari: Mahli and Mushi. These are the families of the Levites according to their fathers’ households.
1CH 6:20	Of Gershom: Libni his son, Jahath his son, Zimmah his son,
1CH 6:21	Joah his son, Iddo his son, Zerah his son, and Jeatherai his son.
1CH 6:22	The sons of Kohath: Amminadab his son, Korah his son, Assir his son,
1CH 6:23	Elkanah his son, and Ebiasaph his son, Assir his son,
1CH 6:24	Tahath his son, Uriel his son, Uzziah his son, and Shaul his son.
1CH 6:25	The sons of Elkanah: Amasai and Ahimoth.
1CH 6:26	As for Elkanah, the sons of Elkanah: Zophai his son, Nahath his son,
1CH 6:27	Eliab his son, Jeroham his son, and Elkanah his son.
1CH 6:28	The sons of Samuel: the firstborn, Joel, and the second, Abijah.
1CH 6:29	The sons of Merari: Mahli, Libni his son, Shimei his son, Uzzah his son,
1CH 6:30	Shimea his son, Haggiah his son, Asaiah his son.
1CH 6:31	These are they whom David set over the service of song in Yahweh’s house, after the ark came to rest there.
1CH 6:32	They ministered with song before the tabernacle of the Tent of Meeting, until Solomon had built Yahweh’s house in Jerusalem. They performed the duties of their office according to their order.
1CH 6:33	These are those who served, and their sons. Of the sons of the Kohathites: Heman the singer, the son of Joel, the son of Samuel,
1CH 6:34	the son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah,
1CH 6:35	the son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai,
1CH 6:36	the son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah,
1CH 6:37	the son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah,
1CH 6:38	the son of Izhar, the son of Kohath, the son of Levi, the son of Israel.
1CH 6:39	His brother Asaph, who stood on his right hand, even Asaph the son of Berechiah, the son of Shimea,
1CH 6:40	the son of Michael, the son of Baaseiah, the son of Malchijah,
1CH 6:41	the son of Ethni, the son of Zerah, the son of Adaiah,
1CH 6:42	the son of Ethan, the son of Zimmah, the son of Shimei,
1CH 6:43	the son of Jahath, the son of Gershom, the son of Levi.
1CH 6:44	On the left hand their brothers the sons of Merari: Ethan the son of Kishi, the son of Abdi, the son of Malluch,
1CH 6:45	the son of Hashabiah, the son of Amaziah, the son of Hilkiah,
1CH 6:46	the son of Amzi, the son of Bani, the son of Shemer,
1CH 6:47	the son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
1CH 6:48	Their brothers the Levites were appointed for all the service of the tabernacle of God’s house.
1CH 6:49	But Aaron and his sons offered on the altar of burnt offering, and on the altar of incense, for all the work of the most holy place, and to make atonement for Israel, according to all that Moses the servant of God had commanded.
1CH 6:50	These are the sons of Aaron: Eleazar his son, Phinehas his son, Abishua his son,
1CH 6:51	Bukki his son, Uzzi his son, Zerahiah his son,
1CH 6:52	Meraioth his son, Amariah his son, Ahitub his son,
1CH 6:53	Zadok his son, and Ahimaaz his son.
1CH 6:54	Now these are their dwelling places according to their encampments in their borders: to the sons of Aaron, of the families of the Kohathites (for theirs was the first lot),
1CH 6:55	to them they gave Hebron in the land of Judah, and its suburbs around it;
1CH 6:56	but the fields of the city, and its villages, they gave to Caleb the son of Jephunneh.
1CH 6:57	To the sons of Aaron they gave the cities of refuge, Hebron; Libnah also with its suburbs, Jattir, Eshtemoa with its suburbs,
1CH 6:58	Hilen with its suburbs, Debir with its suburbs,
1CH 6:59	Ashan with its suburbs, and Beth Shemesh with its suburbs;
1CH 6:60	and out of the tribe of Benjamin, Geba with its suburbs, Allemeth with its suburbs, and Anathoth with its suburbs. All their cities throughout their families were thirteen cities.
1CH 6:61	To the rest of the sons of Kohath were given by lot, out of the family of the tribe, out of the half-tribe, the half of Manasseh, ten cities.
1CH 6:62	To the sons of Gershom, according to their families, out of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the tribe of Manasseh in Bashan, thirteen cities.
1CH 6:63	To the sons of Merari were given by lot, according to their families, out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
1CH 6:64	The children of Israel gave to the Levites the cities with their suburbs.
1CH 6:65	They gave by lot out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, and out of the tribe of the children of Benjamin, these cities which are mentioned by name.
1CH 6:66	Some of the families of the sons of Kohath had cities of their borders out of the tribe of Ephraim.
1CH 6:67	They gave to them the cities of refuge, Shechem in the hill country of Ephraim with its suburbs; Gezer also with its suburbs,
1CH 6:68	Jokmeam with its suburbs, Beth Horon with its suburbs,
1CH 6:69	Aijalon with its suburbs, Gath Rimmon with its suburbs;
1CH 6:70	and out of the half-tribe of Manasseh, Aner with its suburbs, and Bileam with its suburbs, for the rest of the family of the sons of Kohath.
1CH 6:71	To the sons of Gershom were given, out of the family of the half-tribe of Manasseh, Golan in Bashan with its suburbs, and Ashtaroth with its suburbs;
1CH 6:72	and out of the tribe of Issachar, Kedesh with its suburbs, Daberath with its suburbs,
1CH 6:73	Ramoth with its suburbs, and Anem with its suburbs;
1CH 6:74	and out of the tribe of Asher, Mashal with its suburbs, Abdon with its suburbs,
1CH 6:75	Hukok with its suburbs, and Rehob with its suburbs;
1CH 6:76	and out of the tribe of Naphtali, Kedesh in Galilee with its suburbs, Hammon with its suburbs, and Kiriathaim with its suburbs.
1CH 6:77	To the rest of the Levites, the sons of Merari, were given, out of the tribe of Zebulun, Rimmono with its suburbs, Tabor with its suburbs;
1CH 6:78	and beyond the Jordan at Jericho, on the east side of the Jordan, were given them, out of the tribe of Reuben, Bezer in the wilderness with its suburbs, and Jahzah with its suburbs,
1CH 6:79	Kedemoth with its suburbs, and Mephaath with its suburbs;
1CH 6:80	and out of the tribe of Gad, Ramoth in Gilead with its suburbs, Mahanaim with its suburbs,
1CH 6:81	Heshbon with its suburbs, and Jazer with its suburbs.
1CH 7:1	Of the sons of Issachar: Tola, and Puah, Jashub, and Shimron, four.
1CH 7:2	The sons of Tola: Uzzi, Rephaiah, Jeriel, Jahmai, Ibsam, and Shemuel, heads of their fathers’ houses, of Tola; mighty men of valor in their generations. Their number in the days of David was twenty-two thousand six hundred.
1CH 7:3	The son of Uzzi: Izrahiah. The sons of Izrahiah: Michael, Obadiah, Joel, and Isshiah, five; all of them chief men.
1CH 7:4	With them, by their generations, after their fathers’ houses, were bands of the army for war, thirty-six thousand; for they had many wives and sons.
1CH 7:5	Their brothers among all the families of Issachar, mighty men of valor, listed in all by genealogy, were eighty-seven thousand.
1CH 7:6	The sons of Benjamin: Bela, Becher, and Jediael, three.
1CH 7:7	The sons of Bela: Ezbon, Uzzi, Uzziel, Jerimoth, and Iri, five; heads of fathers’ houses, mighty men of valor; and they were listed by genealogy twenty-two thousand thirty-four.
1CH 7:8	The sons of Becher: Zemirah, Joash, Eliezer, Elioenai, Omri, Jeremoth, Abijah, Anathoth, and Alemeth. All these were the sons of Becher.
1CH 7:9	They were listed by genealogy, after their generations, heads of their fathers’ houses, mighty men of valor, twenty thousand two hundred.
1CH 7:10	The son of Jediael: Bilhan. The sons of Bilhan: Jeush, Benjamin, Ehud, Chenaanah, Zethan, Tarshish, and Ahishahar.
1CH 7:11	All these were sons of Jediael, according to the heads of their fathers’ households, mighty men of valor, seventeen thousand two hundred, who were able to go out in the army for war.
1CH 7:12	So were Shuppim, Huppim, the sons of Ir, Hushim, and the sons of Aher.
1CH 7:13	The sons of Naphtali: Jahziel, Guni, Jezer, Shallum, and the sons of Bilhah.
